"Lifeexpectancyatbirth","Meanyearsofschooling","Country","GNIpercapitarankminusHDIrank","Grossnationalincome(GNI)percapita","Expectedyearsofschooling","HDIrank","HumanDevelopmentIndex(HDI)"
"73.7201","13.49810028","LITHUANIA","5","37931.30359","16.28506088","35","0.875"
"76.936","11.31052971","SAUDI ARABIA","-10","46111.55135","16.13549042","35","0.875"
"81.0443","9.575940132","PORTUGAL","3","33154.53343","16.87122917","38","0.866"
"73.5786","13.25271988","LATVIA","4","32803.23423","16.20252991","39","0.863"
"80.3684","10.55511952","ANDORRA","-19","51166.62661","13.30023874","40","0.858"
"77.5804","12.19108434","CROATIA","8","30132.28814","15.11209965","40","0.858"
"78.9435","10.9349663","CHILE","14","24563.24486","16.73130035","42","0.855"
"79.2716","9.99601145","QATAR","-39","87134.13469","12.63722038","42","0.855"
"80.8786","10.80146027","SAN MARINO","-25","52653.82534","12.26613998","44","0.853"
"74.9101","12.91141987","SLOVAKIA","1","30690.48552","14.51303959","45","0.848"
"74.5301","12.24958992","HUNGARY","-2","32789.01063","15.0336281","46","0.846"
"75.3899","11.14726927","ARGENTINA","17","20925.26814","17.8748703","47","0.842"
"76.0324","8.63313961","TÜRKIYE","-3","31032.80106","18.3382206","48","0.838"
"76.3426","12.17648306","MONTENEGRO","16","20838.80129","15.08160973","49","0.832"
"78.6729","7.328022618","KUWAIT","-32","52919.76137","15.32443332","50","0.831"
"74.6424","9.18","BRUNEI DARUSSALAM","-42","64489.53954","13.95178032","51","0.829"
"69.419","12.77428805","RUSSIAN FEDERATION","-1","27166.30891","15.76636982","52","0.822"
"74.1847","11.27511978","ROMANIA","-4","30027.29131","14.22990036","53","0.821"
"72.5406","11.65404034","OMAN","-2","27054.32505","14.57349014","54","0.816"
"71.5983","12.64192386","BAHAMAS","-8","30486.18429","12.89945","55","0.812"
"69.3622","12.34756189","KAZAKHSTAN","1","23942.81837","15.76500034","56","0.811"
"72.9709","11.61062419","TRINIDAD AND TOBAGO","1","23392.02084","14.53545292","57","0.81"
"77.0232","8.804059982","COSTA RICA","8","19974.27358","16.54577065","58","0.809"
"75.4356","8.982549667","URUGUAY","5","21268.88122","16.83259964","58","0.809"
"72.438","12.14358044","BELARUS","8","18848.96704","15.16996956","60","0.808"
"76.2233","10.54059029","PANAMA","-8","26956.83707","13.05787868","61","0.805"
"74.8839","10.64505959","MALAYSIA","-8","26657.94355","13.34304047","62","0.803"
"71.694","12.82221985","GEORGIA","17","14664.16825","15.56851959","63","0.802"
"73.5552","10.42791048","MAURITIUS","-1","22025.34631","15.17352977","63","0.802"
"74.1923","11.36987019","SERBIA","4","19123.02747","14.40009022","63","0.802"
"78.7154","8.697119713","THAILAND","6","17030.15352","15.88221913","66","0.8"
"2021","2021","","2021","2021","2021","","2021"
"","","HIGH HUMAN DEVELOPMENT","","","","",""
"76.4626","11.28645502","ALBANIA","17","14131.11039","14.44799995","67","0.796"
"71.798","11.41318035","BULGARIA","-8","23078.95595","13.89729023","68","0.795"
"74.9362","9.032104","GRENADA","18","13483.5774","18.66202035","68","0.795"
"77.5714","9.852700596","BARBADOS","26","12306.341","15.71338458","70","0.79"
"78.4968","9.293740746","ANTIGUA AND BARBUDA","2","16792.36595","14.18462641","71","0.788"
"71.2945","10.28312","SEYCHELLES","-17","25830.61775","13.94161034","72","0.785"
"76.3991","10.82730007","SRI LANKA","21","12578.22055","14.13990486","73","0.782"
"75.3003","10.53631973","BOSNIA AND HERZEGOVINA","4","15241.91465","13.8","74","0.78"
"71.6822","8.662745","SAINT KITTS AND NEVIS","-16","23358.33212","15.42769157","75","0.777"
"73.8749","10.63645314","IRAN (ISLAMIC REPUBLIC OF)","15","13000.7117","14.61524963","76","0.774"
"71.624","11.13142043","UKRAINE","11","13255.50977","14.95656854","77","0.773"
"73.8415","10.22815037","NORTH MACEDONIA","-3","15917.75283","13.62443234","78","0.77"
"78.2107","7.600118446","CHINA","-8","17504.39969","14.2361149","79","0.768"
"72.6146","9.306864107","DOMINICAN REPUBLIC","-11","17989.60037","14.46655802","80","0.767"
"68.8459","11.82159042","MOLDOVA (REPUBLIC OF)","-1","14875.33189","14.43299961","80","0.767"
"66.0204","12.49143","PALAU","5","13818.67869","15.78432","80","0.767"
"73.6829","12.49773438","CUBA","37","7878.847482","14.44305992","83","0.764"
"72.3769","9.885518863","PERU","13","12245.89366","15.38773354","84","0.762"
"72.0431","11.33030033","ARMENIA","4","13157.9939","13.11676025","85","0.759"
"70.2127","9.221050262","MEXICO","-16","17896.29498","14.86443996","86","0.758"
"72.7504","8.128813955","BRAZIL","-5","14369.88848","15.59906006","87","0.754"
"72.8296","8.862859726","COLOMBIA","-7","14384.35666","14.44274998","88","0.752"
"69.6291","10.83343029","SAINT VINCENT AND THE GRENADINES","11","11961.08792","14.67220567","89","0.751"
"79.9182","7.322","MALDIVES","-14","15448.12788","12.63560963","90","0.747"
"76.3767","8.069284397","ALGERIA","13","10800.22546","14.62689602","91","0.745"
"69.3658","10.5429697","AZERBAIJAN","-8","14256.74456","13.49689007","91","0.745"
"70.9857","11.392594","TONGA","34","6822.03125","16.04857063","91","0.745"
"69.2644","11.26139","TURKMENISTAN","-1","13020.7155","13.21039963","91","0.745"
"73.67","8.817119598","ECUADOR","11","10311.63273","14.62423038","95","0.74"
"70.9754","9.423700333","MONGOLIA","9","10588.22532","14.98034954","96","0.739"
"70.2207","9.573026174","EGYPT","4","11731.69056","13.78649972","97","0.731"
"73.7719","7.431598614","TUNISIA","10","10257.54477","15.42538224","97","0.731"
"67.114","10.92154799","FIJI","9","9980.110866","14.73679","99","0.73"
"70.2743","9.77680063","SURINAME","-6","12672.20033","13.03564357","99","0.73"
"70.8616","11.89558983","UZBEKISTAN","18","7916.785725","12.47714043","101","0.727"
"72.814","8.142186","DOMINICA","0","11487.62422","13.3191862","102","0.72"
"74.2563","10.44668007","JORDAN","8","9923.714974","10.64655972","102","0.72"
"71.9112","7.599985","LIBYA","-27","15335.712","12.85428","104","0.718"
"70.2617","8.861840248","PARAGUAY","-10","12349.286","12.98799113","105","0.717"
"73.4727","9.938480377","PALESTINE, STATE OF","21","6582.899416","13.35801029","106","0.715"
"71.1114","8.545040131","SAINT LUCIA","-7","12048.30381","12.86610985","106","0.715"
"65.6734","8.617477","GUYANA","-47","22464.65734","12.50272216","108","0.714"
"62.341","11.37316036","SOUTH AFRICA","-17","12948.37325","13.64371014","109","0.713"
"70.5003","9.154628661","JAMAICA","4","8834.47567","13.40492042","110","0.709"
"72.7675","11.4038","SAMOA","24","5307.953374","12.41885948","111","0.707"
"65.821","9.436","GABON","-25","13366.93455","12.97731","112","0.706"
"75.0472","8.718636","LEBANON","-1","9525.831467","11.28587","112","0.706"
"67.5703","8.556509972","INDONESIA","-11","11466.06836","13.74889386","114","0.705"
"73.6181","8.370280266","VIET NAM","6","7867.371345","12.9519325","115","0.703"
"2021","2021","","2021","2021","2021","","2021"
"","","MEDIUM HUMAN DEVELOPMENT","","","","",""
"69.2664","8.969099998","PHILIPPINES","-3","8920.428468","13.12656975","116","0.699"
"61.1409","10.34","BOTSWANA","-43","16198.31841","12.26513765","117","0.693"
"63.6304","9.827750206","BOLIVIA (PLURINATIONAL STATE OF)","0","8111.190194","14.94697094","118","0.692"
"69.9774","11.37410556","KYRGYZSTAN","26","4566.303831","13.1953001","118","0.692"
"70.5536","11.10727736","VENEZUELA (BOLIVARIAN REPUBLIC OF)","20","4810.882621","12.81608","120","0.691"
"70.3779","7.905593489","IRAQ","-12","9977.249073","12.08747317","121","0.686"
"71.5942","11.3333938","TAJIKISTAN","23","4547.742427","11.65303618","122","0.685"
"70.4697","8.847599983","BELIZE","6","6309.099778","12.99168968","123","0.683"
"74.0419","5.916","MOROCCO","1","7302.81917","14.15190983","123","0.683"
"70.7479","7.150929928","EL SALVADOR","-8","8295.665889","12.67134767","125","0.675"
"73.8368","7.144","NICARAGUA","6","5624.793595","12.64135783","126","0.667"
"71.815","5.170262283","BHUTAN","-15","9437.541512","13.22500478","127","0.666"
"74.0518","6.287719287","CABO VERDE","2","6230.200199","12.55461444","128","0.662"
"72.3811","7.379059792","BANGLADESH","4","5472.104781","12.44198036","129","0.661"
"64.5466","10.57310772","TUVALU","-2","6351.435899","9.40443","130","0.641"
"65.2688","10.88313961","MARSHALL ISLANDS","12","4619.535393","10.2393198","131","0.639"
"67.2398","6.655109195","INDIA","-6","6589.980037","11.87462044","132","0.633"
"63.7954","8.329886695","GHANA","-2","5744.504017","12.04778004","133","0.632"
"70.71","7.804956","MICRONESIA (FEDERATED STATES OF)","22","3696.173945","11.54947988","134","0.628"
"69.2368","5.681300163","GUATEMALA","-20","8723.285317","10.56245041","135","0.627"
"67.4172","7.984461822","KIRIBATI","14","4062.586034","11.801993","136","0.624"
"70.1229","7.088479996","HONDURAS","-1","5297.955301","10.13281417","137","0.621"
"67.5912","6.215599435","SAO TOME AND PRINCIPE","13","4021.350815","13.36538506","138","0.618"
"59.269","7.192013277","NAMIBIA","-23","8633.504452","11.92720692","139","0.615"
"68.0608","5.374","LAO PEOPLE'S DEMOCRATIC REPUBLIC","-18","7699.579617","10.13611031","140","0.607"
"67.7369","5.43679","TIMOR-LESTE","7","4460.869435","12.616098","140","0.607"
"70.449","7.064846","VANUATU","23","3085.411633","11.53531503","140","0.607"
"68.4495","5.121792742","NEPAL","10","3877.315444","12.88694954","143","0.602"
"57.0657","5.596","ESWATINI (KINGDOM OF)","-21","7678.591873","13.74434586","144","0.597"
"60.5943","5.910863","EQUATORIAL GUINEA","-47","12073.95993","9.73494","145","0.596"
"69.5835","5.088","CAMBODIA","3","4078.697154","11.46772","146","0.593"
"59.2531","8.710908501","ZIMBABWE","9","3809.887158","12.11096904","146","0.593"
"61.6434","5.417390823","ANGOLA","-14","5465.617791","12.1721","148","0.586"
"65.6716","6.37680006","MYANMAR","5","3850.524234","10.90913752","149","0.585"
"72.0627","5.1","SYRIAN ARAB REPUBLIC","-2","4191.933893","9.164219856","150","0.577"
"60.3334","6.15131","CAMEROON","6","3620.932408","13.10859922","151","0.576"
"61.427","6.652","KENYA","-6","4473.570344","10.69855835","152","0.575"
"63.5187","6.166","CONGO","11","2889.283521","12.33081527","153","0.571"
"61.2234","7.187091494","ZAMBIA","7","3217.767739","10.92876021","154","0.565"
"70.3477","5.711848","SOLOMON ISLANDS","13","2481.511362","10.32869027","155","0.564"
"63.4174","5.078649","COMOROS","6","3142.064119","11.92432393","156","0.558"
"65.3506","4.74","PAPUA NEW GUINEA","-4","4008.623573","10.36077074","156","0.558"
"64.3636","4.918804891","MAURITANIA","-20","5075.305711","9.376159668","158","0.556"
"58.5983","5.199138977","CÔTE D'IVOIRE","-22","5217.448516","10.67558002","159","0.55"
"66.2007","6.37289871","TANZANIA (UNITED REPUBLIC OF)","7","2664.329096","9.221489906","160","0.549"
"66.0979","4.536330223","PAKISTAN","-19","4623.70543","8.658349991","161","0.544"
"61.6194","5.016807367","TOGO","12","2166.619062","12.95049378","162","0.539"
"63.1924","5.554","HAITI","2","2847.500746","9.7","163","0.535"
"52.676","7.181074153","NIGERIA","-22","4790.284425","10.12758388","163","0.535"
"66.0722","4.425292358","RWANDA","6","2209.795202","11.23097038","165","0.534"
"59.821","4.304786445","BENIN","-7","3408.965923","10.76667976","166","0.525"
"62.7048","5.730941566","UGANDA","6","2181.43651","10.14986994","166","0.525"
"53.062","6.010184707","LESOTHO","-2","2700.435748","12.04087801","168","0.514"
"62.9044","4.489695385","MALAWI","13","1465.635064","12.67898523","169","0.512"
"67.0926","2.937938258","SENEGAL","-10","3344.311825","8.963749886","170","0.511"
"62.3049","4.1","DJIBOUTI","-32","5024.993944","7.43298","171","0.509"
"65.2667","3.82","SUDAN","-14","3575.19084","7.945187858","172","0.508"
"64.4853","5.120468534","MADAGASCAR","8","1483.520983","10.13499142","173","0.501"
"62.083","4.637487411","GAMBIA","-1","2172.207664","9.418626299","174","0.5"
"64.9748","3.201520681","ETHIOPIA","-5","2361.069604","9.651071421","175","0.498"
"66.5358","4.8872352","ERITREA","3","1728.742667","8.064524628","176","0.492"
"59.6523","3.583719","GUINEA-BISSAU","0","1908.24159","10.61306278","177","0.483"
"60.7472","5.082","LIBERIA","7","1288.74235","10.42078972","178","0.481"
"59.193","7.018696516","CONGO (DEMOCRATIC REPUBLIC OF THE)","9","1076.098781","9.817864451","179","0.479"
"61.9824","2.98506999","AFGHANISTAN","-2","1824.190915","10.26384398","180","0.478"
"60.0624","4.576081285","SIERRA LEONE","-1","1621.512579","9.57339109","181","0.477"
"58.8922","2.202125952","GUINEA","-13","2480.887182","9.805297465","182","0.465"
"63.7534","3.2","YEMEN","1","1314.270189","9.09871006","183","0.455"
"59.2696","2.114962259","BURKINA FASO","-8","2117.915916","9.142100334","184","0.449"
"59.3247","3.197641838","MOZAMBIQUE","2","1198.073924","10.2191516","185","0.446"
"58.9414","2.31","MALI","-11","2132.629443","7.423037617","186","0.428"
"61.6627","3.129266883","BURUNDI","4","731.7867086","10.72272189","187","0.426"
"53.8947","4.334","CENTRAL AFRICAN REPUBLIC","1","966.0586107","8.040171714","188","0.404"
"61.5763","2.116717299","NIGER","-3","1239.866936","6.957111988","189","0.4"
"52.5254","2.57377421","CHAD","-7","1364.169417","8.035914334","190","0.394"
"54.9752","5.726140022","SOUTH SUDAN","-1","767.787","5.54251","191","0.385"
